21.0
10.0
9.0
10.0
18.0
9.0
10.0
13.0
9.0
10.0
15.0
9.0
10.0
9.0
9.0
9.0
10.0
10.0
9.0
9.0
9.0
8.0
10.0
10.0
10.0
10.0
8.0
9.0
11.0
10.0
10.0
19.0
16.0
9.0
10.0
8.0
10.0
8.0
10.0
9.0
9.0
8.0
9.0
10.0
9.0
9.0
9.0
11.0
9.0
10.0
8.0
8.0
11.0
9.0
9.0
10.0
9.0
10.0
9.0
8.0
11.0
9.0
10.0
8.0
10.0
9.0
9.0
10.0
10.0
10.0
10.0
9.0
9.0
9.0
8.0
9.0
10.0
9.0
11.0
10.0
8.0
9.0
11.0
14.0
8.0
9.0
9.0
11.0
10.0
10.0
8.0
9.0
10.0
8.0
10.0
10.0
9.0
10.0
9.0
9.0
9.0
10.0
8.0
9.0
9.0
11.0
10.0
9.0
10.0
9.0
10.0
10.0
10.0
10.0
8.0
10.0
9.0
10.0
9.0
11.0
9.0
8.0
9.0
10.0
14.0
9.0
9.0
9.0
10.0
9.0
8.0
10.0
10.0
9.0
10.0
9.0
9.0
9.0
10.0
10.0
9.0
9.0
10.0
8.0
10.0
10.0
9.0
8.0
12.0
10.0
8.0
18.0
10.0
14.0
10.0
10.0
10.0
16.0
10.0
10.0
10.0
9.0
9.0
10.0
10.0
9.0
9.0
10.0
10.0
10.0
9.0
17.0
9.0
10.0
9.0
10.0
10.0
10.0
10.0
9.0
9.0
13.0
10.0
9.0
9.0
10.0
10.0
8.0
10.0
9.0
9.0
10.0
12.0
9.0
8.0
9.0
10.0
10.0
10.0
10.0
8.0
9.0
9.0
9.0
10.0
9.0
10.0
8.0
10.0
10.0
9.0
9.0
8.0
10.0
10.0
15.0
9.0
9.0
9.0
9.0
14.0
11.0
9.0
9.0
10.0
8.0
9.0
9.0
8.0
9.0
9.0
8.0
10.0
10.0
9.0
10.0
10.0
9.0
8.0
10.0
10.0
14.0
10.0
10.0
9.0
9.0
10.0
9.0
10.0
9.0
9.0
16.0
9.0
10.0
9.0
8.0
9.0
9.0
10.0
9.0
10.0
9.0
10.0
10.0
9.0
9.0
8.0
9.0
9.0
9.0
8.0
13.0
9.0
10.0
10.0
10.0
9.0
9.0
10.0
10.0
10.0
9.0
10.0
8.0
9.0
10.0
8.0
10.0
9.0
8.0
10.0
8.0
9.0
9.0
8.0
9.0
10.0
8.0
10.0
10.0
11.0
10.0
8.0
9.0
10.0
10.0
10.0
10.0
10.0
10.0
8.0
14.0
9.0
10.0
8.0
9.0
8.0
9.0
10.0
9.0
10.0
8.0
10.0
9.0
10.0
10.0
13.0
10.0
11.0
10.0
11.0
10.0
10.0
10.0
10.0
9.0
10.0
9.0
9.0
9.0
9.0
10.0
9.0
13.0
9.0
10.0
9.0
8.0
9.0
10.0
17.0
14.0
10.0
8.0
10.0
10.0
9.0
9.0
9.0
9.0
10.0
10.0
10.0
8.0
9.0
10.0
10.0
11.0
10.0
10.0
10.0
10.0
9.0
10.0
8.0
10.0
10.0
9.0
9.0
8.0
9.0
9.0
9.0
14.0
10.0
9.0
10.0
9.0
9.0
8.0
10.0
16.0
10.0
9.0
9.0
9.0
10.0
9.0
9.0
9.0
10.0
10.0
10.0
9.0
10.0
10.0
8.0
9.0
8.0
9.0
9.0
10.0
10.0
11.0
9.0
16.0
10.0
9.0
10.0
9.0
8.0
10.0
10.0
9.0
9.0
10.0
10.0
10.0
9.0
10.0
10.0
9.0
8.0
9.0
9.0
9.0
9.0
10.0
8.0
10.0
10.0
10.0
11.0
10.0
10.0
9.0
10.0
8.0
9.0
9.0
10.0
10.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
12.0
10.0
8.0
9.0
9.0
9.0
9.0
10.0
10.0
8.0
9.0
9.0
9.0
10.0
9.0
9.0
10.0
10.0
9.0
10.0
11.0
10.0
16.0
9.0
27.0
9.0
10.0
9.0
9.0
10.0
13.0
9.0
10.0
9.0
10.0
8.0
12.0
10.0
8.0
8.0
10.0
9.0
10.0
9.0
11.0
11.0
9.0
8.0
9.0
10.0
9.0
9.0
15.0
11.0
8.0
9.0
9.0
10.0
9.0
8.0
10.0
22.0
15.0
9.0
10.0
9.0
9.0
10.0
10.0
16.0
9.0
8.0
10.0
8.0
8.0
9.0
10.0
10.0
13.0
10.0
10.0
16.0
10.0
10.0
8.0
10.0
9.0
10.0
9.0
10.0
9.0
11.0
9.0
9.0
10.0
9.0
10.0
9.0
9.0
10.0
10.0
9.0
17.0
9.0
10.0
10.0
10.0
9.0
10.0
10.0
10.0
8.0
10.0
9.0
9.0
9.0
10.0
8.0
8.0
10.0
9.0
8.0
10.0
10.0
9.0
9.0
9.0
9.0
9.0
10.0
10.0
9.0
10.0
8.0
10.0
10.0
10.0
8.0
9.0
18.0
9.0
8.0
16.0
8.0
13.0
10.0
9.0
10.0
9.0
8.0
9.0
8.0
8.0
8.0
9.0
8.0
9.0
8.0
10.0
9.0
9.0
10.0
9.0
8.0
10.0
9.0
8.0
9.0
9.0
10.0
9.0
10.0
9.0
10.0
16.0
9.0
9.0
9.0
9.0
9.0
10.0
9.0
9.0
9.0
10.0
11.0
8.0
10.0
10.0
12.0
14.0
8.0
10.0
10.0
10.0
9.0
9.0
10.0
9.0
9.0
9.0
9.0
9.0
14.0
10.0
9.0
9.0
10.0
10.0
10.0
10.0
11.0
10.0
11.0
13.0
9.0
9.0
10.0
10.0
11.0
9.0
9.0
9.0
12.0
8.0
9.0
13.0
9.0
13.0
10.0
9.0
9.0
10.0
9.0
8.0
10.0
9.0
10.0
10.0
9.0
10.0
10.0
9.0
9.0
10.0
8.0
9.0
9.0
8.0
10.0
9.0
8.0
8.0
9.0
8.0
10.0
10.0
10.0
9.0
11.0
12.0
9.0
8.0
10.0
9.0
9.0
9.0
9.0
10.0
8.0
9.0
9.0
10.0
15.0
9.0
11.0
9.0
10.0
10.0
10.0
8.0
12.0
10.0
9.0
9.0
8.0
10.0
8.0
9.0
10.0
9.0
8.0
11.0
13.0
9.0
10.0
8.0
9.0
9.0
8.0
10.0
8.0
9.0
9.0
10.0
9.0
10.0
9.0
10.0
14.0
9.0
10.0
9.0
10.0
10.0
11.0
10.0
10.0
10.0
9.0
9.0
8.0
9.0
11.0
9.0
10.0
10.0
10.0
10.0
10.0
9.0
13.0
10.0
11.0
10.0
11.0
10.0
9.0
9.0
9.0
9.0
8.0
10.0
9.0
10.0
12.0
8.0
9.0
10.0
8.0
10.0
10.0
10.0
11.0
9.0
10.0
10.0
8.0
8.0
9.0
9.0
9.0
10.0
8.0
15.0
10.0
8.0
9.0
9.0
8.0
9.0
9.0
10.0
10.0
9.0
9.0
9.0
10.0
9.0
11.0
8.0
9.0
9.0
11.0
10.0
10.0
9.0
10.0
9.0
8.0
8.0
9.0
9.0
9.0
10.0
10.0
8.0
13.0
9.0
9.0
10.0
9.0
10.0
8.0
9.0
10.0
9.0
10.0
10.0
10.0
9.0
10.0
10.0
10.0
9.0
10.0
8.0
12.0
9.0
10.0
9.0
10.0
17.0
9.0
8.0
10.0
10.0
10.0
9.0
9.0
10.0
9.0
9.0
9.0
9.0
8.0
8.0
10.0
9.0
9.0
9.0
10.0
9.0
9.0
9.0
13.0
9.0
9.0
10.0
9.0
9.0
10.0
11.0
11.0
9.0
10.0
10.0
9.0
9.0
15.0
10.0
9.0
9.0
10.0
9.0
9.0
9.0
9.0
9.0
10.0
8.0
8.0
9.0
10.0
10.0
8.0
8.0
11.0
9.0
9.0
10.0
10.0
9.0
9.0
10.0
10.0
9.0
10.0
10.0
10.0
9.0
9.0
10.0
8.0
9.0
9.0
10.0
10.0
16.0
10.0
8.0
10.0
10.0
10.0
9.0
10.0
10.0
9.0
15.0
10.0
9.0
9.0
10.0
9.0
9.0
9.0
9.0
8.0
9.0
13.0
9.0
8.0
9.0
10.0
9.0
10.0
8.0
10.0
9.0
10.0
8.0
11.0
9.0
9.0
10.0
10.0
13.0
9.0
11.0
9.0
8.0
10.0
9.0
9.0
9.0
9.0
10.0
8.0
10.0
8.0
9.0
9.0
9.0
10.0
10.0
8.0
9.0
8.0
10.0
10.0
9.0
10.0
9.0
9.0
10.0
9.0
10.0
9.0
9.0
10.0
15.0
10.0
9.0
9.0
10.0
9.0
8.0
8.0
10.0
9.0
9.0
11.0
10.0
11.0
10.0
10.0
9.0
8.0
10.0
9.0
8.0
10.0
9.0
9.0
9.0
9.0
8.0
9.0
16.0
10.0
10.0
10.0
8.0
10.0
9.0
9.0
10.0
9.0
13.0
9.0
9.0
10.0
10.0
9.0
10.0
10.0
10.0
9.0
12.0
10.0
10.0
10.0
12.0
15.0
8.0
9.0
9.0
14.0
10.0
8.0
9.0
8.0
10.0
10.0
10.0
9.0
10.0
10.0
11.0
10.0
9.0
16.0
10.0
11.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
8.0
9.0
9.0
11.0
10.0
8.0
8.0
8.0
8.0
9.0
10.0
10.0
9.0
9.0
10.0
9.0
10.0
8.0
9.0
9.0
10.0
9.0
10.0
8.0
9.0
9.0
10.0
18.0
9.0
9.0
9.0
9.0
9.0
9.0
10.0
10.0
10.0
10.0
9.0
17.0
9.0
8.0
8.0
8.0
10.0
9.0
11.0
10.0
10.0
10.0
8.0
9.0
9.0
9.0
9.0
10.0
8.0
8.0
8.0
10.0
9.0
8.0
9.0
10.0
9.0
11.0
9.0
11.0
9.0
10.0
10.0
15.0
9.0
10.0
9.0
10.0
8.0
10.0
8.0
9.0
10.0
8.0
11.0
10.0
10.0
10.0
9.0
9.0
10.0
9.0
9.0
10.0
10.0
10.0
9.0
9.0
9.0
15.0
9.0
9.0
9.0
8.0
10.0
9.0
8.0
8.0
10.0
10.0
9.0
15.0
10.0
10.0
9.0
10.0
11.0
9.0
10.0
10.0
9.0
10.0
10.0
8.0
10.0
10.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
10.0
10.0
10.0
15.0
16.0
8.0
9.0
9.0
9.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
9.0
10.0
15.0
9.0
9.0
9.0
10.0
9.0
8.0
9.0
9.0
9.0
9.0
9.0
11.0
10.0
10.0
9.0
10.0
9.0
17.0
10.0
10.0
10.0
10.0
9.0
10.0
10.0
9.0
9.0
9.0
9.0
10.0
9.0
9.0
10.0
9.0
10.0
9.0
9.0
9.0
9.0
10.0
12.0
10.0
9.0
9.0
9.0
17.0
12.0
9.0
16.0
9.0
9.0
10.0
9.0
9.0
10.0
10.0
9.0
10.0
9.0
8.0
10.0
8.0
15.0
9.0
9.0
9.0
8.0
8.0
9.0
10.0
10.0
9.0
10.0
12.0
10.0
9.0
9.0
10.0
10.0
10.0
8.0
8.0
11.0
9.0
10.0
9.0
8.0
9.0
8.0
9.0
9.0
9.0
9.0
9.0
10.0
17.0
9.0
10.0
10.0
8.0
10.0
9.0
9.0
10.0
10.0
11.0
9.0
8.0
8.0
9.0
9.0
9.0
9.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
8.0
8.0
11.0
11.0
9.0
9.0
10.0
9.0
8.0
9.0
8.0
9.0
8.0
10.0
10.0
8.0
9.0
10.0
10.0
8.0
9.0
10.0
8.0
16.0
10.0
10.0
18.0
9.0
10.0
10.0
9.0
8.0
9.0
8.0
10.0
9.0
8.0
9.0
10.0
9.0
10.0
9.0
9.0
9.0
9.0
10.0
9.0
10.0
13.0
9.0
14.0
9.0
8.0
8.0
10.0
11.0
10.0
9.0
9.0
9.0
9.0
10.0
10.0
9.0
8.0
10.0
10.0
10.0
14.0
10.0
9.0
8.0
10.0
10.0
9.0
8.0
9.0
10.0
9.0
10.0
10.0
9.0
10.0
10.0
9.0
10.0
8.0
9.0
8.0
8.0
10.0
10.0
10.0
10.0
10.0
8.0
8.0
9.0
10.0
11.0
10.0
15.0
9.0
10.0
10.0
9.0
10.0
9.0
8.0
8.0
9.0
10.0
9.0
9.0
10.0
11.0
9.0
10.0
10.0
9.0
10.0
10.0
11.0
8.0
9.0
8.0
9.0
9.0
9.0
10.0
10.0
9.0
10.0
8.0
9.0
11.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
12.0
8.0
9.0
9.0
9.0
9.0
9.0
10.0
9.0
10.0
9.0
10.0
10.0
10.0
9.0
10.0
8.0
10.0
9.0
10.0
9.0
10.0
9.0
9.0
10.0
8.0
10.0
9.0
9.0
9.0
10.0
9.0
10.0
10.0
9.0
10.0
8.0
9.0
9.0
10.0
9.0
9.0
11.0
9.0
9.0
10.0
9.0
8.0
10.0
10.0
10.0
8.0
8.0
8.0
9.0
10.0
18.0
9.0
9.0
10.0
9.0
10.0
9.0
9.0
8.0
10.0
10.0
9.0
8.0
9.0
9.0
9.0
9.0
9.0
10.0
9.0
10.0
10.0
10.0
8.0
9.0
10.0
8.0
10.0
9.0
9.0
8.0
10.0
9.0
10.0
10.0
9.0
10.0
8.0
16.0
9.0
10.0
10.0
9.0
10.0
9.0
9.0
10.0
12.0
10.0
22.0
10.0
10.0
10.0
16.0
9.0
9.0
8.0
15.0
10.0
9.0
10.0
8.0
9.0
9.0
10.0
16.0
13.0
15.0
11.0
9.0
10.0
11.0
9.0
9.0
10.0
10.0
9.0
10.0
9.0
10.0
9.0
10.0
10.0
9.0
8.0
10.0
9.0
9.0
9.0
10.0
9.0
10.0
9.0
9.0
8.0
9.0
9.0
11.0
9.0
8.0
9.0
10.0
10.0
11.0
10.0
10.0
9.0
10.0
9.0
10.0
10.0
15.0
10.0
9.0
9.0
11.0
16.0
10.0
9.0
10.0
9.0
8.0
10.0
10.0
9.0
9.0
17.0
8.0
9.0
10.0
9.0
15.0
9.0
10.0
9.0
14.0
8.0
8.0
9.0
10.0
10.0
9.0
9.0
9.0
9.0
8.0
10.0
9.0
10.0
9.0
9.0
9.0
10.0
8.0
10.0
10.0
10.0
11.0
10.0
11.0
8.0
8.0
10.0
10.0
11.0
10.0
9.0
11.0
10.0
9.0
9.0
9.0
9.0
16.0
9.0
10.0
9.0
10.0
10.0
8.0
8.0
10.0
9.0
10.0
9.0
9.0
10.0
9.0
8.0
9.0
8.0
10.0
10.0
15.0
8.0
8.0
10.0
8.0
9.0
10.0
9.0
9.0
9.0
13.0
9.0
8.0
9.0
9.0
9.0
11.0
10.0
11.0
10.0
11.0
10.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
10.0
9.0
9.0
10.0
8.0
9.0
8.0
9.0
9.0
13.0
9.0
9.0
9.0
10.0
8.0
10.0
10.0
10.0
10.0
10.0
8.0
8.0
10.0
10.0
10.0
10.0
10.0
9.0
10.0
10.0
10.0
8.0
9.0
9.0
8.0
10.0
9.0
10.0
10.0
8.0
9.0
9.0
10.0
10.0
10.0
9.0
10.0
8.0
10.0
14.0
9.0
10.0
10.0
8.0
14.0
10.0
9.0
9.0
8.0
10.0
9.0
9.0
11.0
10.0
10.0
9.0
8.0
9.0
9.0
10.0
9.0
9.0
17.0
10.0
9.0
15.0
10.0
10.0
10.0
10.0
9.0
9.0
10.0
8.0
9.0
8.0
9.0
10.0
13.0
10.0
9.0
10.0
10.0
9.0
9.0
10.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
10.0
8.0
10.0
8.0
8.0
10.0
10.0
9.0
10.0
9.0
9.0
16.0
10.0
8.0
9.0
10.0
9.0
10.0
9.0
9.0
8.0
10.0
10.0
9.0
9.0
9.0
8.0
8.0
10.0
10.0
9.0
9.0
8.0
9.0
9.0
9.0
10.0
16.0
10.0
10.0
9.0
9.0
8.0
9.0
8.0
8.0
10.0
10.0
14.0
9.0
10.0
9.0
10.0
10.0
9.0
10.0
10.0
14.0
9.0
10.0
10.0
9.0
8.0
9.0
10.0
10.0
9.0
10.0
9.0
8.0
9.0
9.0
11.0
9.0
8.0
8.0
9.0
10.0
10.0
10.0
10.0
9.0
9.0
9.0
9.0
9.0
10.0
10.0
9.0
9.0
10.0
18.0
9.0
11.0
10.0
9.0
10.0
10.0
8.0
10.0
10.0
10.0
10.0
8.0
10.0
10.0
9.0
11.0
12.0
9.0
11.0
9.0
9.0
9.0
10.0
9.0
9.0
11.0
9.0
9.0
9.0
10.0
10.0
9.0
8.0
9.0
8.0
9.0
10.0
10.0
8.0
10.0
9.0
9.0
8.0
9.0
10.0
10.0
9.0
10.0
9.0
9.0
11.0
10.0
10.0
15.0
10.0
10.0
9.0
9.0
9.0
10.0
10.0
10.0
10.0
8.0
10.0
9.0
9.0
8.0
9.0
9.0
10.0
10.0
8.0
10.0
10.0
10.0
9.0
9.0
8.0
9.0
8.0
10.0
9.0
9.0
9.0
10.0
10.0
9.0
9.0
9.0
12.0
9.0
9.0
11.0
8.0
10.0
9.0
10.0
10.0
9.0
10.0
10.0
9.0
9.0
10.0
9.0
10.0
10.0
9.0
9.0
9.0
11.0
10.0
9.0
9.0
10.0
9.0
9.0
10.0
10.0
9.0
15.0
10.0
9.0
10.0
9.0
9.0
8.0
10.0
18.0
8.0
10.0
8.0
10.0
9.0
13.0
10.0
10.0
9.0
10.0
9.0
8.0
10.0
10.0
10.0
13.0
10.0
10.0
10.0
8.0
9.0
9.0
9.0
8.0
10.0
10.0
9.0
10.0
9.0
10.0
9.0
10.0
17.0
10.0
9.0
10.0
8.0
9.0
20.0
10.0
9.0
10.0
9.0
10.0
10.0
8.0
9.0
10.0
18.0
9.0
11.0
10.0
9.0
8.0
10.0
9.0
10.0
8.0
10.0
9.0
10.0
10.0
10.0
9.0
8.0
10.0
9.0
9.0
9.0
10.0
8.0
8.0
9.0
9.0
9.0
9.0
9.0
8.0
10.0
15.0
9.0
9.0
10.0
9.0
9.0
10.0
9.0
8.0
10.0
8.0
8.0
10.0
15.0
10.0
10.0
10.0
9.0
10.0
8.0
9.0
10.0
8.0
9.0
10.0
10.0
8.0
9.0
9.0
8.0
8.0
9.0
9.0
9.0
10.0
10.0
9.0
10.0
10.0
10.0
9.0
10.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
9.0
10.0
10.0
10.0
9.0
10.0
9.0
9.0
8.0
10.0
10.0
10.0
10.0
9.0
18.0
9.0
10.0
9.0
10.0
10.0
10.0
10.0
8.0
9.0
10.0
9.0
9.0
10.0
9.0
10.0
8.0
10.0
10.0
8.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
10.0
10.0
18.0
10.0
10.0
9.0
9.0
10.0
9.0
9.0
9.0
10.0
9.0
13.0
8.0
16.0
9.0
8.0
10.0
10.0
10.0
8.0
10.0
9.0
10.0
10.0
10.0
10.0
9.0
9.0
8.0
15.0
9.0
9.0
10.0
10.0
9.0
8.0
9.0
9.0
9.0
10.0
10.0
10.0
16.0
9.0
9.0
9.0
9.0
9.0
10.0
9.0
10.0
10.0
9.0
9.0
17.0
10.0
9.0
9.0
10.0
9.0
9.0
8.0
9.0
10.0
10.0
10.0
10.0
10.0
10.0
8.0
9.0
8.0
8.0
9.0
9.0
10.0
9.0
10.0
8.0
10.0
11.0
9.0
10.0
10.0
10.0
8.0
9.0
9.0
9.0
8.0
9.0
9.0
10.0
9.0
9.0
8.0
8.0
10.0
8.0
10.0
9.0
8.0
10.0
17.0
9.0
9.0
10.0
10.0
10.0
8.0
9.0
9.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
11.0
9.0
10.0
8.0
9.0
8.0
8.0
9.0
13.0
13.0
10.0
10.0
15.0
17.0
10.0
12.0
9.0
8.0
13.0
10.0
9.0
10.0
10.0
9.0
10.0
9.0
9.0
10.0
10.0
10.0
10.0
9.0
9.0
9.0
21.0
9.0
9.0
9.0
8.0
10.0
10.0
10.0
9.0
10.0
9.0
9.0
12.0
9.0
9.0
9.0
10.0
10.0
11.0
9.0
9.0
10.0
10.0
10.0
10.0
8.0
10.0
10.0
9.0
9.0
10.0
9.0
10.0
12.0
17.0
14.0
9.0
10.0
10.0
10.0
10.0
8.0
16.0
10.0
10.0
9.0
9.0
8.0
8.0
11.0
9.0
10.0
9.0
10.0
25.0
10.0
9.0
10.0
9.0
10.0
9.0
10.0
10.0
10.0
9.0
9.0
10.0
10.0
9.0
9.0
10.0
11.0
9.0
9.0
8.0
10.0
10.0
9.0
10.0
9.0
9.0
10.0
9.0
8.0
9.0
16.0
8.0
10.0
9.0
10.0
13.0
10.0
9.0
9.0
10.0
8.0
8.0
10.0
8.0
9.0
8.0
9.0
9.0
10.0
9.0
8.0
11.0
9.0
10.0
9.0
9.0
10.0
9.0
9.0
10.0
9.0
10.0
10.0
9.0
10.0
10.0
9.0
10.0
11.0
10.0
9.0
10.0
9.0
9.0
10.0
9.0
10.0
9.0
10.0
10.0
11.0
10.0
9.0
9.0
9.0
9.0
9.0
10.0
9.0
10.0
9.0
10.0
9.0
18.0
9.0
9.0
9.0
9.0
14.0
10.0
11.0
9.0
10.0
9.0
10.0
9.0
10.0
9.0
10.0
10.0
10.0
18.0
8.0
9.0
9.0
18.0
9.0
8.0
10.0
9.0
10.0
10.0
10.0
8.0
9.0
11.0
10.0
9.0
10.0
9.0
10.0
9.0
9.0
10.0
10.0
10.0
10.0
10.0
8.0
9.0
9.0
10.0
8.0
10.0
10.0
10.0
10.0
9.0
9.0
10.0
10.0
9.0
8.0
9.0
8.0
11.0
10.0
8.0
9.0
10.0
10.0
10.0
8.0
9.0
10.0
8.0
9.0
9.0
8.0
8.0
9.0
9.0
10.0
9.0
9.0
8.0
9.0
10.0
10.0
15.0
9.0
10.0
10.0
10.0
9.0
9.0
10.0
9.0
10.0
9.0
9.0
9.0
9.0
22.0
15.0
10.0
9.0
9.0
8.0
10.0
9.0
10.0
8.0
16.0
8.0
10.0
10.0
15.0
10.0
10.0
10.0
8.0
9.0
10.0
10.0
10.0
9.0
10.0
9.0
11.0
13.0
9.0
10.0
15.0
9.0
9.0
9.0
10.0
10.0
9.0
10.0
10.0
9.0
9.0
10.0
10.0
8.0
9.0
9.0
10.0
10.0
9.0
9.0
10.0
9.0
10.0
10.0
9.0
9.0
9.0
10.0
9.0
8.0
9.0
10.0
10.0
9.0
11.0
9.0
11.0
9.0
10.0
9.0
10.0
10.0
9.0
17.0
17.0
8.0
10.0
10.0
10.0
11.0
9.0
9.0
17.0
17.0
10.0
9.0
10.0
9.0
10.0
10.0
8.0
9.0
10.0
9.0
10.0
10.0
9.0
10.0
10.0
10.0
10.0
10.0
10.0
14.0
10.0
8.0
9.0
10.0
10.0
10.0
10.0
9.0
14.0
10.0
10.0
10.0
8.0
9.0
9.0
8.0
10.0
10.0
10.0
11.0
10.0
9.0
10.0
10.0
9.0
9.0
9.0
9.0
16.0
9.0
9.0
10.0
10.0
9.0
10.0
8.0
10.0
10.0
10.0
10.0
9.0
10.0
10.0
10.0
10.0
9.0
8.0
11.0
10.0
10.0
9.0
10.0
10.0
9.0
9.0
10.0
10.0
9.0
9.0
10.0
13.0
13.0
9.0
8.0
9.0
10.0
9.0
9.0
16.0
9.0
10.0
9.0
10.0
10.0
9.0
10.0
8.0
9.0
9.0
9.0
10.0
11.0
10.0
10.0
10.0
10.0
10.0
8.0
10.0
8.0
10.0
10.0
9.0
9.0
10.0
16.0
10.0
10.0
9.0
9.0
9.0
11.0
10.0
10.0
9.0
11.0
9.0
9.0
10.0
10.0
10.0
9.0
11.0
9.0
10.0
13.0
9.0
9.0
9.0
9.0
8.0
9.0
10.0
10.0
10.0
9.0
9.0
9.0
8.0
10.0
10.0
8.0
8.0
9.0
10.0
10.0
11.0
9.0
10.0
10.0
15.0
10.0
10.0
10.0
10.0
9.0
9.0
15.0
16.0
10.0
11.0
9.0
9.0
10.0
8.0
9.0
9.0
8.0
10.0
9.0
10.0
10.0
9.0
9.0
9.0
10.0
9.0
8.0
9.0
10.0
10.0
9.0
10.0
10.0
10.0
10.0
10.0
10.0
8.0
8.0
10.0
9.0
8.0
11.0
9.0
9.0
9.0
9.0
10.0
10.0
9.0
9.0
14.0
10.0
8.0
10.0
9.0
10.0
9.0
8.0
9.0
9.0
9.0
9.0
9.0
9.0
9.0
10.0
9.0
9.0
9.0
9.0
10.0
8.0
10.0
10.0
10.0
9.0
10.0
9.0
10.0
8.0
10.0
9.0
10.0
9.0
9.0
12.0
10.0
9.0
9.0
8.0
8.0
10.0
10.0
10.0
9.0
9.0
9.0
9.0
9.0
10.0
10.0
10.0
10.0
9.0
8.0
9.0
10.0
10.0
9.0
10.0
10.0
10.0
9.0
10.0
10.0
8.0
9.0
8.0
9.0
10.0
9.0
10.0
9.0
9.0
8.0
8.0
8.0
9.0
8.0
10.0
10.0
10.0
10.0
10.0
10.0
9.0
9.0
9.0
9.0
11.0
9.0
10.0
8.0
9.0
10.0
10.0
9.0
10.0
8.0
10.0
10.0
9.0
9.0
10.0
10.0
8.0
9.0
11.0
9.0
9.0
10.0
10.0
9.0
9.0
9.0
10.0
11.0
9.0
9.0
8.0
9.0
10.0
9.0
10.0
8.0
9.0
9.0
9.0
9.0
9.0
18.0
12.0
11.0
9.0
9.0
9.0
10.0
8.0
9.0
10.0
10.0
10.0
8.0
15.0
10.0
10.0
9.0
16.0
10.0
8.0
9.0
9.0
8.0
8.0
8.0
10.0
9.0
10.0
9.0
8.0
10.0
9.0
9.0
10.0
9.0
10.0
10.0
9.0
9.0
10.0
10.0
10.0
9.0
